courseno,title_long_en,degree_level,pre_en,year_end,open_status
100316,Special Education for Enhancing Potentials of Students with Special Needs,U,(100112 and third year standing) or (100112 and second year standing and consent of the department and for education students in early childhood education-special education major),2599.0,1
001320,English and Science and Future Trends,U,(001101 and 001102 and 001201 and 001202) or 001218 or (001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229),2599.0,1
204482,Simulation and Modelling,U,(204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223) and 206112 and (208250 or 208263 or 208264 or 208269),2599.0,1
801481,Theory in Professional Practice,U,(third year standing or fourth year standing) and for architecture students,2599.0,1
206309,Fundamental Concepts of Arithmetics,U,none,2599.0,1
202108,Basic Biology 1,U,for agriculture students or for pharmacy students or for nursing students,2599.0,1
461526,Development of Aromatherapy Products,U,321242 and (461102 or 461201) and (461353 or 461256) and consent of the department or (463402 and 463251 and 321242),2599.0,1
001321,British and American Cultural Studies,U,001201 and (001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229) and 001210,2599.0,1
001311,Reading and Writing 1,U,001201 and (001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229 or 001292),2599.0,1
207321,Introduction to Atmospheric Physics,U,(206112 and 207104 and 207108) or (206112 and 207118 and 207188) or (206112 and 207118 and 207198 and 207199),2599.0,1
100589,Practicum in Teaching Profession 1,U,fifth year standing or consent of the department,2599.0,1
001381,Reading Media in English,U,001201 and (001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229),2599.0,1
202185,Basic Biology for the Health Sciences 2,U,202184 and not for associated medical sciences students,2599.0,1
202109,Basic Biology 2,U,202108 and not for agriculture students and not for pharmacy students,2599.0,1
203351,Glass Blowing,U,203104 or 203111 or 203116 or 203151 or 203154 or 203162 or 203171 or consent of the department,2599.0,1
215208,Introductory Microbiology Laboratory,U,202111 and concurrent to 215207 and not for science students in microbiology major,2599.0,1
253303,Environmental and Safety Management in Industry,U,third year standing and not for engineering students in environmental engineering major and for students in science based group,2599.0,1
365421,Principles of Watershed Management,U,(361210 or 361211 or 361212 or 154104) or (363210 and 400211) or consent of the department,2599.0,1
462541,Drugstore Management,U,(461353 and consent of the department) or (461256 and consent of the department) or 464446,2599.0,1
204381,Numerical Computation and Software,U,(204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223) and 206112,2599.0,1
204383,Image Processing,U,(204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223) and 206112,2599.0,1
