courseno,title_long_en,degree_level,pre_en,year_end,open_status
100316,Special Education for Enhancing Potentials of Students with Special Needs,U,100112 and third year standing; or 100112 and second year standing of Program in Early Childhood Education-Special Education and consent of the department,2599,1
206787,Theory of Statistics for Teachers,G,"206332 and one year courses in statistic, basic concepts of set theory; some probabilistic concept; or consent of the instructor (for plan B only)",2599,1
703798,Independent Study,G,"Students are required to submit independent study proposals, conduct a study, and present study results under the direction of advisors.",2599,1
001320,English and Science and Future Trends,U,001101 AND 001102 AND 001201 AND 001202; OR 001218; OR 001222 OR 001223 OR 001224 OR 001225 OR 001226 OR 001227 OR 001228 OR 001229,2599,1
204482,Simulation and Modelling,U,204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112; and 208250 or 208263 or 208264 or 208269,2599,1
801481,Theory in Professional Practice,U,third year standing for Bachelor of Science Program in Architecture or fourth year standing for Bachelor of Architecture Program,2599,1
013798,Independent Study,G,the research proposal title must either be approved or the application for approval of the research proposal is registered.,2599,1
013799,Master’s Thesis,G,the research proposal title must either be approved or the application for approval of the research proposal is registered.,2599,1
206309,Fundamental Concepts of Arithmetics,U,"Higher Certificate of Education Students or at least 6 credits from the following : 206112 ,206203 ,206207 ,206216 ,204201",2599,1
320811,Medical Pharmacokinetics and Therapeutic Drug Monitoring,G,320701 or consent of the instructor and Not allow for who previously registered for 320707 to register for this course,2599,1
202108,Basic Biology 1,U,"High School Biology; Enrollment is permitted only for students from the Faculties of Agriculture, Pharmacy and Nursing",2599,1
461526,Development of Aromatherapy Products,U,321242; and 461102 or 461201; and 461353 or 461256; and consent of the department; or 463402 and 463251 and 321242,2599,1
202184,Basic Biology for the Health Sciences 1,U,High School Biology; Enrollment is permitted only for students from the Faculty of Associated Medical Sciences.,2559,0
001321,British and American Cultural Studies,U,001201; and 001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229; and 001210,2599,1
204482,Simulation and Modelling,U,204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112; and 208250 or 208263 or 208264,2563,1
001311,Reading and Writing 1,U,001201; and 001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229 or 001292,2599,1
126400,Seminar Studies on Problems in International Relations,U,fourth year standing or last semester Political Sciences Student majoring International Affairs; and 126499,2564,1
207321,Introduction to Atmospheric Physics,U,206112 and 207104 and 207108; or 206112 and 207118 and 207188; or 206112 and 207118 and 207198 and 207199,2563,1
207321,Introduction to Atmospheric Physics,U,206112 and 207104 and 207108; or 206112 and 207118 and 207188; or 206112 and 207118 and 207198 and 207199,2599,1
011797,Master’s Thesis,G,The proposal was approved or there is a registration on the condition that a proposal has been submitted,2599,1
