courseno,title_long_en,degree_level,pre_en,year_end,open_status
100316,Special Education for Enhancing Potentials of Students with Special Needs,U,100112 and third year standing; or 100112 and second year standing of Program in Early Childhood Education-Special Education and consent of the department,2599.0,1
206787,Theory of Statistics for Teachers,G,"206332 and one year courses in statistic, basic concepts of set theory; some probabilistic concept; or consent of the instructor (for plan B only)",2599.0,1
703798,Independent Study,G,"Students are required to submit independent study proposals, conduct a study, and present study results under the direction of advisors.",2599.0,1
1320,English and Science and Future Trends,U,001101 AND 001102 AND 001201 AND 001202; OR 001218; OR 001222 OR 001223 OR 001224 OR 001225 OR 001226 OR 001227 OR 001228 OR 001229,2599.0,1
204482,Simulation and Modelling,U,204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112; and 208250 or 208263 or 208264 or 208269,2599.0,1
801481,Theory in Professional Practice,U,third year standing for Bachelor of Science Program in Architecture or fourth year standing for Bachelor of Architecture Program,2599.0,1
13798,Independent Study,G,the research proposal title must either be approved or the application for approval of the research proposal is registered.,2599.0,1
13799,Master’s Thesis,G,the research proposal title must either be approved or the application for approval of the research proposal is registered.,2599.0,1
206309,Fundamental Concepts of Arithmetics,U,"Higher Certificate of Education Students or at least 6 credits from the following : 206112 ,206203 ,206207 ,206216 ,204201",2599.0,1
320811,Medical Pharmacokinetics and Therapeutic Drug Monitoring,G,320701 or consent of the instructor and Not allow for who previously registered for 320707 to register for this course,2599.0,1
202108,Basic Biology 1,U,"High School Biology; Enrollment is permitted only for students from the Faculties of Agriculture, Pharmacy and Nursing",2599.0,1
461526,Development of Aromatherapy Products,U,321242; and 461102 or 461201; and 461353 or 461256; and consent of the department; or 463402 and 463251 and 321242,2599.0,1
1321,British and American Cultural Studies,U,001201; and 001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229; and 001210,2599.0,1
1311,Reading and Writing 1,U,001201; and 001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229 or 001292,2599.0,1
207321,Introduction to Atmospheric Physics,U,206112 and 207104 and 207108; or 206112 and 207118 and 207188; or 206112 and 207118 and 207198 and 207199,2599.0,1
11797,Master’s Thesis,G,The proposal was approved or there is a registration on the condition that a proposal has been submitted,2599.0,1
11799,Master’s Thesis,G,The proposal was approved or there is a registration on the condition that a proposal has been submitted,2599.0,1
100589,Practicum in Teaching Profession 1,U,fifth year standing and having passed all required courses of each program or consent of the department,2599.0,1
361792,Seminar 2,G,"Approved proposal or concurrent to thesis proposal, and has passed or concurrent to 361791 registration",2599.0,1
1381,Reading Media in English,U,001201; and 001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229,2599.0,1
202185,Basic Biology for the Health Sciences 2,U,202184; Enrollment is permitted only for students from the Faculty of Associated Medical Sciences.,2599.0,1
202109,Basic Biology 2,U,202108; Enrollment is permitted only for students from the Faculties of Agriculture and Pharmacy,2599.0,1
401971,Seminar in Periodontal Literature 1,G,401871 Classical Literature in Periodontics 1 and 401872 Classical Literature in Periodontics 2,2599.0,1
203351,Glass Blowing,U,203104 or 203111 or 203116 or 203151 or 203154 or 203162 or 203171 or consent of the department,2599.0,1
303799,Master’s Thesis,G,Thesis proposal has been approved or during thesis proposal has been submitted for approving,2599.0,1
324799,Master’s Thesis,G,Thesis proposal has been approved or during thesis proposal has been submitted for approving,2599.0,1
208798,Independent Study,G,Approved proposal or register along with proposal for approval for independent study topics,2599.0,1
215208,Introductory Microbiology Laboratory,U,202111 AND CONCURRENT TO 215207 AND ENROLLMENTS ARE NOT PERMITTED FOR MAJOR IN MICROBIOLOGY,2599.0,1
253303,Environmental and Safety Management in Industry,U,Third year standing for science-based students (for non-environmental engineering students),2599.0,1
430799,Master’s Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
365421,Principles of Watershed Management,U,361210 or 361211 or 361212 or 154104; or 363210 and 400211; or consent of the department,2599.0,1
952798,Independent Study,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
952799,Master' s Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
952898,Dissertation,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
952899,Dissertation,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
953799,Master's Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
953798,Independent Study,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
427897,Dissertation,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
427898,Dissertation,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
427899,Dissertation,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
427798,Master’s Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
427799,Master’s Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
462541,Drugstore Management,U,461353 and consent of the department; or 461256 and consent of the department; or 464446,2599.0,1
317797,Master’s Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
317799,Master’s Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
317897,Doctoral Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
317898,Doctoral Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
317899,Doctoral Thesis,G,Approved thesis proposal or registration concurrently with submission of thesis proposal,2599.0,1
204381,Numerical Computation and Software,U,204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112,2599.0,1
204383,Image Processing,U,204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112,2599.0,1
167798,Independent Study,G,Approved proposal or registering at the same time with the request of approval proposal,2599.0,1
401799,Master’s Thesis,G,Approved thesis proposal or registration consurrenty with submission of thesis proposal,2599.0,1
651620,Veterinary Perspectives,U,sixth year standing or consent of academic committee; for veterinary medicine students,2599.0,1
211499,Special Problems in Biochemistry and Biochemical Innovation,U,fourth year standing and permission of staff member with whom student proposes to work,2599.0,1
215322,Actinomycetes Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215321,2599.0,1
215324,Phycology Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215323,2599.0,1
215326,Mycology Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215325,2599.0,1
215328,Virology Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215327,2599.0,1
215376,Aquatic Microbiology Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215375,2599.0,1
215386,Normal Flora Microorganisms in Human Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215385,2599.0,1
215422,Biology of Mushrooms Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215421,2599.0,1
215424,Biology of Yeasts Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215423,2599.0,1
215436,Microbial Genetics Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215435,2599.0,1
215446,Bacterial Physiology Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215445,2599.0,1
215466,Systematic Bacteriology Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215465,2599.0,1
215476,Microbial Ecology Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215475,2599.0,1
215486,Industrial Microbiology Laboratory,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215485,2599.0,1
203499,Special Problems in Chemistry,U,fourth year standing and permission of staff member with whom student propose to work,2599.0,1
321232,Physiology for Physical Therapy Students and Occupational Therapy Students,U,Second year standing for Physical Therapy Students and Occupational Therapy Students,2599.0,1
303261,Biochemistry for Veterinary Students,U,"202182, 203152 AND 203158 OR 202182, 203153 AND 203159 OR 651108, 203154 AND 203159",2599.0,1
320898,Dissertation,G,Approved proposal or registration for this course along with proposing the proposal,2599.0,1
320899,Dissertation,G,Approved proposal or registration for this course along with proposing the proposal,2599.0,1
601341,Fundamental Food Engineering 1,U,207111 and 206104; or 207117 and 207187 and 206104; or 207123 and 207173 and 206104,2599.0,1
320799,Master' s Thesis,G,Approved proposal or registration for this course along with proposing the proposal,2599.0,1
510403,Laboratory Practice in Medical Technology,U,501305 and 501306 and 502313 and 502314 and 504305 and 506303 and 508304 and 512304,2599.0,1
203475,"Properties, Processing and Applications of Polymers",U,203111 and 203115 and 210201 and concurrent to 203477; or consent of the department,2599.0,1
252898,Dissertation,G,Approved dissertation proposal or concurrent to submission of dissertation proposal,2599.0,1
252899,Dissertation,G,Approved dissertation proposal or concurrent to submission of dissertation proposal,2599.0,1
301208,Anatomy of Upper and Lower Extremities and Vertebral Column,U,consent of the department; for Occupational Therapy and Physical Therapy students,2599.0,1
210200,Problem Based Learning in Materials Science,U,Second year standing for Materials Science students; or consent of the department,2599.0,1
251401,Cooperative Education,U,251313 and 251333 and 251343 and 251363 and 251374 and consent of the department,2599.0,1
515799,Master’s Thesis,G,Thesis proposal approved or enrolled with the topic and thesis proposal approved,2599.0,1
208799,Master's Thesis,G,Approved proposal or register along with proposal for approval for thesis topics,2599.0,1
510799,Master's Thesis,G,Thesis proposal has been approved or in concurrent to thesis proposal submission,2599.0,1
203427,Biomolecular and Material Design,U,203104 or 203113; and 206112 or 206116; and 207187; or consent of the department,2599.0,1
254490,Special Study for Project,U,254205 and 254216 and 254222 and 254231 and 259106; or consent of the department,2599.0,1
254493,Industrial Internship,U,254205 and 254216 and 254222 and 254231 and 259106; or consent of the department,2599.0,1
570798,Independent Study,G,Approved independent study proposal or concurrent to independent study proposal,2599.0,1
556798,Independent Study,G,Approved independent study proposal or concurrent to independent study proposal,2599.0,1
151489,Seminar in Asean Studies,U,"126102 AND a Minor in ASEAN Studies Couse in the Curriculum, at least 9 Credits",2599.0,1
251499,Civil Engineering Project,U,251399 OR CONCURRENCE; AND/OR APPROVAL FROM THE DEPARTMENT OF CIVIL ENGINEERING,2599.0,1
365322,Forest Resources Conservation,U,361210 or 361211 or 361212; or 363210 and 400211; or consent of the department,2599.0,1
365425,Wildlife Resource Conservation,U,361210 or 361211 or 361212; or 363210 and 400211; or consent of the department,2599.0,1
365324,Principles of Agroforestry,U,353210 or 359210 or 361210; or 363210 and 400211; or consent of the department,2599.0,1
127798,Independent Study,G,Approve independent study proposal or concurrent independent study to proposal,2599.0,1
4898,Dissertation,G,Approval of proposal or concurrence to the submission of dissertation proposal,2599.0,1
4899,Dissertation,G,Approval of proposal or concurrence to the submission of dissertation proposal,2599.0,1
204382,Computer Graphics,U,204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219; and 206112,2599.0,1
347898,Dissertation,G,Approved the thesis proposal or registered and presented the thesis proposal.,2599.0,1
347899,Dissertation,G,Approved the thesis proposal or registered and presented the thesis proposal.,2599.0,1
4897,Dissertation,G,Approval of proposal or concurrent to the submission of dissertation proposal,2599.0,1
118899,Dissertation,G,Approved Proposal or sent proposal Dissertation and enroll thesis course too.,2599.0,1
118898,Dissertation,G,Approved proposal or sent proposal Dissertation and enroll thesis course too,2599.0,1
204325,System Analysis and Design,U,204203 or 204211 or 204212 or 204214 or 204215 or 204216 or 204217 or 204219,2599.0,1
204335,Microcontroller and Internet of Things,U,204113 or 204114 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223,2599.0,1
204365,Human-computer Interaction,U,204203 or 204211 or 204212 or 204214 or 204215 or 204216 or 204217 or 204219,2599.0,1
206727,Algebra for Teachers,G,206414 and 206412 or 206425; or consent of the instructor (for plan B only),2599.0,1
751441,Economics of Water Resources,U,"751209 and 751302, for major or by consent of the instrucyor for non major",2599.0,1
127799,Master’s Thesis,G,Approve master?s thesis proposal or concurrent master?s thesis to proposal,2599.0,1
18499,Independent Study,U,fourth year standing; for Japanese majors only and consent of the division,2599.0,1
206893,Special Topics in Mathematics 3,G,Enroll at least 12 Credits of graduate course or Consent of the instructor,2599.0,1
206894,Special Topics in Mathematics 4,G,Enroll at least 12 Credits of graduate course or Consent of the instructor,2599.0,1
206895,Special Problems at Doctoral Level 1,G,Enroll at least 12 Credits of graduate course or consent of the instructor,2599.0,1
206896,Special Problems at Doctoral Level 2,G,Enroll at least 12 Credits of graduate course or Consent of the instructor,2599.0,1
321210,General Physiology for Ptometry Students,U,SECOND YEAR STANDING; FOR OPTOMETRY STUDENTS OR CONSENT OF THE DEPARTMENT,2599.0,1
49311,Literary Media and Environment,U,049211 or 049241 or 001250 or 002260 or 014270 or consent of the division,2599.0,1
604798,M.S. Thesis,G,Approved proposal or registration with submission of a research proposal,2599.0,1
604799,M.S. Thesis,G,Approved proposal or registration with submission of a research proposal,2599.0,1
601321,Meat Technology,U,602120 OR 602122 OR 601231; AND 203204 AND 203208; OR 203206 AND 203209,2599.0,1
119797,Master’s Thesis,G,Approved Proposal or sent proposal thesis and enroll thesis course too.,2599.0,1
119799,Master’s Thesis,G,Approved Proposal or sent proposal thesis and enroll thesis course too.,2599.0,1
923799,Master’s Thesis,G,Passed research proposal exam or concurrent with research proposal exam,2599.0,1
23797,Master’s Thesis,G,Approval of proposal or concurrent to the submission of thesis proposal,2599.0,1
208383,Industrial Statistics,U,208150 or 208263 or 208270 or 208271; for non statistics major students,2599.0,1
208384,Statistics for Industrial Management,U,208150 or 208263 or 208270 or 208271; for non statistics major students,2599.0,1
252798,Master’s Thesis,G,Approved thesis proposal or concurrent to submission of thesis proposal,2599.0,1
252799,Master’s Thesis,G,Approved thesis proposal or concurrent to submission of thesis proposal,2599.0,1
11464,Contemporary Philosophy,U,Fourth year standing or Consent of the Philosophy and Religion Division,2599.0,1
