"25468   ","100316","100112 and third year standing; or 100112 and second year standing of Program in Early Childhood Education-Special Education and consent of the department"
"6760    ","206787","206332 and one year courses in statistic, basic concepts of set theory; some probabilistic concept; or consent of the instructor (for plan B only)"
"22660   ","703798","Students are required to submit independent study proposals, conduct a study, and present study results under the direction of advisors."
"92      ","001320","001101 AND 001102 AND 001201 AND 001202; OR 001218; OR 001222 OR 001223 OR 001224 OR 001225 OR 001226 OR 001227 OR 001228 OR 001229"
"24731   ","204482","204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112; and 208250 or 208263 or 208264 or 208269"
"21402   ","801481","third year standing for Bachelor of Science Program in Architecture or fourth year standing for Bachelor of Architecture Program"
"21724   ","013798","the research proposal title must either be approved or the application for approval of the research proposal is registered."
"21725   ","013799","the research proposal title must either be approved or the application for approval of the research proposal is registered."
"6600    ","206309","Higher Certificate of Education Students or at least 6 credits from the following : 206112 ,206203 ,206207 ,206216 ,204201"
"11122   ","320811","320701 or consent of the instructor and Not allow for who previously registered for 320707 to register for this course"
"5728    ","202108","High School Biology; Enrollment is permitted only for students from the Faculties of Agriculture, Pharmacy and Nursing"
"13714   ","461526","321242; and 461102 or 461201; and 461353 or 461256; and consent of the department; or 463402 and 463251 and 321242"
"5741    ","202184","High School Biology; Enrollment is permitted only for students from the Faculty of Associated Medical Sciences."
"20770   ","001321","001201; and 001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229; and 001210"
"22895   ","204482","204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112; and 208250 or 208263 or 208264"
"20769   ","001311","001201; and 001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229 or 001292"
"20650   ","126400","fourth year standing or last semester Political Sciences Student majoring International Affairs; and 126499"
"18432   ","207321","206112 and 207104 and 207108; or 206112 and 207118 and 207188; or 206112 and 207118 and 207198 and 207199"
"24752   ","207321","206112 and 207104 and 207108; or 206112 and 207118 and 207188; or 206112 and 207118 and 207198 and 207199"
"24118   ","011797","The proposal was approved or there is a registration on the condition that a proposal has been submitted"
"24119   ","011799","The proposal was approved or there is a registration on the condition that a proposal has been submitted"
"19840   ","100589","fifth year standing and having passed all required courses of each program or consent of the department"
"20889   ","361792","Approved proposal or concurrent to thesis proposal, and has passed or concurrent to 361791 registration"
"3474    ","100589","FIFTH YEAR STANDING AND PASSED ALL THE REQUIRED COURSES OF EACH PROGRAM OR CONSENT OF THE INSTRUCTOR"
"11148   ","321331","Second year standing for Physical Therapy Students; or Third year standing for Occupational Therapy"
"25111   ","001381","001201; and 001202 or 001222 or 001223 or 001224 or 001225 or 001226 or 001227 or 001228 or 001229"
"5742    ","202185","202184; Enrollment is permitted only for students from the Faculty of Associated Medical Sciences."
"24448   ","202109","202108; Enrollment is permitted only for students from the Faculties of Agriculture and Pharmacy"
"5729    ","202109","202108; Enrollment is permitted only for students from the Faculties of Agriculture and Pharmacy"
"24216   ","401971","401871 Classical Literature in Periodontics 1 and 401872 Classical Literature in Periodontics 2"
"25072   ","203351","203104 or 203111 or 203116 or 203151 or 203154 or 203162 or 203171 or consent of the department"
"4097    ","126400","FOURTH YEAR STANDING OR LAST SEMESTER POLITICAL SCIENCES STUDENT MAJORING INTERNATIONAL AFFAIRS"
"21312   ","303799","Thesis proposal has been approved or during thesis proposal has been submitted for approving"
"22115   ","324799","Thesis proposal has been approved or during thesis proposal has been submitted for approving"
"21364   ","208798","Approved proposal or register along with proposal for approval for independent study topics"
"7637    ","215208","202111 AND CONCURRENT TO 215207 AND ENROLLMENTS ARE NOT PERMITTED FOR MAJOR IN MICROBIOLOGY"
"8564    ","253303","Third year standing for science-based students (for non-environmental engineering students)"
"20587   ","430799","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"20712   ","365421","361210 or 361211 or 361212 or 154104; or 363210 and 400211; or consent of the department"
"20773   ","952798","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"20774   ","952799","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"20775   ","952898","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"20776   ","952899","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"21628   ","953799","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"21698   ","953798","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"22327   ","427897","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"22328   ","427898","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"22329   ","427899","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"22356   ","427798","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"22357   ","427799","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"22612   ","462541","461353 and consent of the department; or 461256 and consent of the department; or 464446"
"22891   ","204381","204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112 or 206203"
"22892   ","204383","204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112 or 206203"
"24263   ","317797","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"24264   ","317799","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"24265   ","317897","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"24266   ","317898","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"24267   ","317899","Approved thesis proposal or registration concurrently with submission of thesis proposal"
"24710   ","204381","204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112"
"24712   ","204383","204203 or 204211 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223; and 206112"
"20719   ","167798","Approved proposal or registering at the same time with the request of approval proposal"
"22608   ","401799","Approved thesis proposal or registration consurrenty with submission of thesis proposal"
"7564    ","212797","Graduate standing and consent of the graduate committee for Applied Geophysical program"
"12444   ","362424","361201 or 361210 or 361211 or 361212 or 362211 or 154104  or consent of the department"
"18254   ","211499","fourth year standing and permission of staff member with whom student proposes to work"
"22075   ","651620","sixth year standing or consent of academic committee; for veterinary medicine students"
"24386   ","211499","fourth year standing and permission of staff member with whom student proposes to work"
"7645    ","215322","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215321"
"7647    ","215324","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215323"
"7649    ","215326","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215325"
"7651    ","215328","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215327"
"7654    ","215376","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215375"
"7657    ","215386","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215385"
"7661    ","215422","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215421"
"7663    ","215424","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215423"
"7667    ","215436","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215435"
"7669    ","215438","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215437"
"7672    ","215446","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215445"
"7675    ","215466","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215465"
"7678    ","215476","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215475"
"7681    ","215486","215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208; AND CONCURRENT TO 215485"
"18247   ","203499","fourth year standing and permission of staff member with whom student propose to work"
"1842    ","052430","052200 or consent of the instructor Rec: For higher certificate of education students"
"25089   ","203499","fourth year standing and permission of staff member with whom student propose to work"
"11143   ","321232","Second year standing for Physical Therapy Students and Occupational Therapy Students"
